"id_amending","amend_weight","name"
"C1926A00044",1,"Invalid and Old-age Pensions Act 1926"
"C1926A00045",0.5,"Customs Tariff (No. 2) 1926"
"C1926A00047",1,"War Service Homes Act 1926"
"C1926A00048",1,"Maternity Allowance Act 1926"
"C1926A00050",1,"Land Tax Assessment Act 1926"
"C1927A00001",1,"Defence Act 1927"
"C1927A00002",1,"Commonwealth Inscribed Stock Act 1927"
"C1927A00003",1,"Bankruptcy Act 1927"
"C1927A00004",1,"States Grants Act 1927"
"C1927A00006",1,"Dried Fruits Export Charges Act 1927"
"C1927A00008",1,"Commonwealth Conciliation and Arbitration Act 1927"
"C1927A00009",0.333333333333333,"Judiciary Act 1927"
"C1927A00010",1,"Wine Export Bounty Act 1927"
"C1927A00012",1,"States Loan Act 1927"
"C1927A00029",1,"Land Tax Act 1927"
"C1927A00030",1,"Land Tax Assessment Act 1927"
"C1927A00032",1,"Income Tax Assessment Act 1927"
"C1927A00034",1,"Maternity Allowance Act 1927"
"C1927A00036",1,"Commonwealth Bank (Savings Bank) Act 1927"
"C1927A00038",1,"Iron and Steel Products Bounty Act 1927"
"C1928A00001",1,"Arbitration (Public Service) Act 1928"
"C1928A00002",0.5,"Customs Tariff 1928"
"C1928A00004",1,"Excise Tariff 1928"
"C1928A00009",1,"Parliamentary Allowances Act 1928"
"C1928A00010",1,"Commonwealth Housing Act 1928"
"C1928A00012",1,"Wine Export Bounty Act 1928"
"C1928A00013",1,"Crimes Act 1928"
"C1928A00014",1,"Service and Execution of Process Act 1928"
"C1928A00015",1,"State and Territorial Laws and Records Recognition Act 1928"
"C1928A00017",1,"Commonwealth Electoral Act 1928"
"C1928A00018",1,"Commonwealth Conciliation and Arbitration Act 1928"
"C1928A00019",1,"National Debt Sinking Fund Act 1928"
"C1928A00023",1,"War Precautions Act Repeal Act 1928"
"C1928A00031",1,"Invalid and Old-age Pensions Act 1928"
"C1928A00034",1,"Land Tax Assessment Act 1928"
"C1928A00035",0.333333333333333,"Customs Tariff (No. 2) 1928"
"C1928A00036",0.5,"Customs Tariff (No. 3) 1928"
"C1928A00038",1,"Beer Excise Act 1928"
"C1928A00039",1,"Bankruptcy Act 1928"
"C1928A00041",1,"Commonwealth Public Service Act 1928"
"C1928A00042",1,"Referendum (Constitution Alteration) Act 1928"
"C1928A00044",1,"Seat of Government (Administration) Act 1928"
"C1928A00046",1,"Income Tax Assessment Act 1928"
"C1928A00047",1,"Estate Duty Assessment Act 1928"
"C1929A00001",1,"Constitution Alteration (State Debts) 1928"
"C1929A00002",1,"Commonwealth Electoral Act 1929"
"C1929A00003",1,"Transport Workers Act 1929"
"C1929A00005",1,"Tariff Board Act 1929"
"C1929A00011",1,"Income Tax Assessment Act 1929"
"C1929A00012",1,"Dried Fruits Export Charges Act 1929"
"C1929A00013",1,"War Service Homes Act 1929"
"C1929A00015",0.5,"Dairy Produce Export Charges Act 1929"
"C1929A00016",1,"Canned Fruits Export Charges Act 1929"
"C1929A00017",1,"National Debt Sinking Fund Act 1929"
"C1929A00024",1,"Grafton to South Brisbane Railway Act 1929"
"C1929A00025",1,"Arbitration (Public Service) Act 1929"
